"filename", "language", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"f:\Side_hustle\web\minimalist_toolbox\base64_converter.html", "HTML", 822, 0, 0, 1, 131, 954
"f:\Side_hustle\web\minimalist_toolbox\color_picker.html", "HTML", 604, 0, 0, 0, 90, 694
"f:\Side_hustle\web\minimalist_toolbox\css\style.css", "PostCSS", 0, 136, 0, 1, 24, 161
"f:\Side_hustle\web\minimalist_toolbox\css\tools.css", "PostCSS", 0, 170, 0, 1, 31, 202
"f:\Side_hustle\web\minimalist_toolbox\file_converter.html", "HTML", 113, 0, 0, 1, 8, 122
"f:\Side_hustle\web\minimalist_toolbox\index.html", "HTML", 449, 0, 0, 4, 41, 494
"f:\Side_hustle\web\minimalist_toolbox\ip_tool.html", "HTML", 390, 0, 0, 7, 55, 452
"f:\Side_hustle\web\minimalist_toolbox\js\tools\base64_converter.js", "JavaScript", 0, 0, 151, 11, 29, 191
"f:\Side_hustle\web\minimalist_toolbox\js\tools\color_picker.js", "JavaScript", 0, 0, 171, 2, 35, 208
"f:\Side_hustle\web\minimalist_toolbox\js\tools\file_converter.js", "JavaScript", 0, 0, 178, 12, 37, 227
"f:\Side_hustle\web\minimalist_toolbox\js\tools\ip_tool.js", "JavaScript", 0, 0, 184, 17, 30, 231
"f:\Side_hustle\web\minimalist_toolbox\js\tools\json_formatter.js", "JavaScript", 0, 0, 156, 16, 21, 193
"f:\Side_hustle\web\minimalist_toolbox\js\tools\markdown_editor.js", "JavaScript", 0, 0, 248, 23, 42, 313
"f:\Side_hustle\web\minimalist_toolbox\js\tools\password_generator.js", "JavaScript", 0, 0, 119, 5, 32, 156
"f:\Side_hustle\web\minimalist_toolbox\js\tools\qr_generator.js", "JavaScript", 0, 0, 316, 36, 66, 418
"f:\Side_hustle\web\minimalist_toolbox\js\tools\timestamp_converter.js", "JavaScript", 0, 0, 63, 2, 17, 82
"f:\Side_hustle\web\minimalist_toolbox\js\tools\unit_converter.js", "JavaScript", 0, 0, 205, 16, 35, 256
"f:\Side_hustle\web\minimalist_toolbox\json_formatter.html", "HTML", 385, 0, 0, 3, 41, 429
"f:\Side_hustle\web\minimalist_toolbox\markdown_editor.html", "HTML", 414, 0, 0, 4, 67, 485
"f:\Side_hustle\web\minimalist_toolbox\password_generator.html", "HTML", 659, 0, 0, 7, 104, 770
"f:\Side_hustle\web\minimalist_toolbox\qr_generator.html", "HTML", 549, 0, 0, 8, 75, 632
"f:\Side_hustle\web\minimalist_toolbox\regex_tester.html", "HTML", 522, 0, 0, 7, 71, 600
"f:\Side_hustle\web\minimalist_toolbox\timestamp_converter.html", "HTML", 185, 0, 0, 1, 20, 206
"f:\Side_hustle\web\minimalist_toolbox\unit_converter.html", "HTML", 240, 0, 0, 5, 24, 269
"f:\Side_hustle\web\minimalist_toolbox\url_encoder.html", "HTML", 269, 0, 0, 2, 26, 297
"Total", "-", 5601, 306, 1791, 192, 1152, 9042